id,data,tema,decisao,motivo,alternativas_consideradas,impacto,autor,fonte,status,observacoes
DEC-001,2026-09-15,nomenclatura,O nome correto da empresa é GIBSON PROMOÇÕES; hashtag #GibsonPromoções,Correção permanente de nomenclatura,'Gibson Produções' e variações — proibidas,"Vale para legendas, campanhas, prompts, materiais, metadados e documentação",Vitor,Documento consolidado do projeto,vigente,Regra permanente — checar em toda entrega.
DEC-002,2026-09-15,posicionamento,"Posicionar a QUINTA HITS como 'o lugar para estar na quinta-feira', maior que qualquer atração individual","A programação traz o público, a experiência faz voltar, a marca cria o hábito",Comunicação centrada no artista da semana,A comunicação institucional não pode depender do nome do artista,Vitor,Documento consolidado do projeto,vigente,
DEC-003,2026-09-15,identidade,"Logo oficial: sistema 'Q de balcão' com lettering condensado próprio, placa verde #17352B + creme #F1E7D2; pacote final em curvas Bézier (v1.1)",Ativo de marca definido e aprovado,Redesenhos e reinterpretações — proibidos,"Selo, símbolo Q, lettering e proporções não podem ser reinterpretados",Vitor,Aprovação do pacote v1.1,vigente,Melhorias permitidas são apenas de execução técnica.
DEC-004,2026-09-11,operacao_de_midia,"Montar Business Manager, conta de anúncios própria e pixel na página de reserva","Operar sem Gerenciador impede otimização, retargeting e medição de conversão",Continuar apenas com 'Turbinar post',"Habilita público salvo, lookalike, retargeting e otimização por conversão",Vitor,Histórico da operação de tráfego,vigente,Conta criada; meio de pagamento e pixel pendentes na última atualização.
DEC-005,2026-09-15,conteudo,"Primeira linha do feed = três posts: verde puro, selo centralizado, verde puro",Dar protagonismo máximo à marca com espaço negativo,"Linha explicativa com data, local e arroba",Nenhum elemento comercial na primeira linha,Vitor,Documento consolidado do projeto,vigente,
DEC-006,2026-09-15,conteudo,Bio oficial do Instagram aprovada em quatro linhas (COP-001),"Explica o que é, quando, onde, a experiência e onde reservar sem depender do artista",Bio centrada na programação semanal,Base de conversão do perfil,Vitor,Documento consolidado do projeto,vigente,
DEC-007,2026-09-11,escopo,Cíntia Férsi não faz parte do projeto QUINTA HITS,Citada por engano em briefing anterior de logo,—,Evita contaminação de escopo entre QUINTA HITS e Barzim de Rock,Vitor,Correção de escopo,vigente,
DEC-008,2026-09-15,objetivo_de_midia,Objetivo primário das campanhas: tráfego qualificado para reserva de mesas,Reserva é o resultado comercial do evento,Alcance e engajamento como objetivo primário,"Secundários: engajamento qualificado, alcance, marca, novos públicos, recorrência semanal",Vitor,Briefing de tráfego pago,vigente,
DEC-009,2026-09-15,casa,A casa da QUINTA HITS passa a ser o FLORINDOS BAR. O Tatu Bola não faz mais parte do projeto.,Mudança de casa definida pelo Vitor em 15/09/2026,—,"Atualizar bio, legendas, artes, endereço nos criativos, público por raio no Gerenciador, site e toda a documentação. Histórico das edições de 27/08 e 10/09 permanece registrado no Tatu Bola.",Vitor,Conversa de 15/09/2026,vigente,Regra permanente: nenhuma peça nova cita o Tatu Bola como casa da QUINTA HITS.
DEC-010,2026-09-15,site,"Site oficial da QUINTA HITS em Next.js na Vercel (projeto quinta-hits), código em SITE/ na pasta do projeto","Ponto único de programação, reserva e marca fora do Instagram",Site estático em HTML; Linktree,Link de reserva e endereço do Florindos Bar entram em SITE/src/config/site.ts; programação em SITE/src/data/programacao.json,Vitor,Conversa de 15/09/2026,vigente,Preview publicado em 15/09/2026; produção quando o Vitor aprovar.
DEC-011,2026-09-15,programacao,Vertentes fixas por artista: NETO FOG = ROCK POP · Jhean Marcell = 2000's · DJ Jabá = DJ VINYL. Voo Livre = tributo ao Roupa Nova (hits).,Definição do Vitor para nomear as edições e as abas de estilo,—,"Aba de edição na placa (site e artes), tema das edições, filtros de programação",Vitor,Conversa de 15/09/2026,vigente,
DEC-012,2026-09-15,site,"Selo do site vira vinil com braço/agulha e player Spotify: playlist editorial oficial do Spotify ""00s Rock Anthems"" (id 37i9dQZF1DX3oM43CtKnRV, com Take Me Out, Sex on Fire, Mr. Brightside etc.); logo do hero flutua com sombra",Pedido do Vitor para o site ter movimento e trilha da casa (rock pop anos 2000),Player de áudio próprio com MP3; YouTube embed,Playlist precisa ser PÚBLICA no Spotify para tocar no site; id em SITE/src/config/site.ts (spotifyPlaylistId),Vitor,Conversa de 15/09/2026,vigente,"Implementado no preview de 15/09/2026. Playlist gerada por IA (Spotify generate_playlist) não é embutível publicamente — trocada por playlist editorial oficial do Spotify, sempre pública."
