id,data,dia_semana,edicao_numero,local_id,tema,artista_principal_id,horario_inicio,horario_fim,tipo_entrada,couvert_valor,status,publico_meta,publico_presente,mesas_meta,mesas_reservadas,clima,concorrencia_na_data,observacoes
EVT-2026-08-27,2026-08-27,quinta,,LOC-001,Quinta Hits 2000's,ART-001,,,,,realizado,,90,,,,,"Primeira edição com dados de tráfego pago registrados. 90 pessoas confirmadas (pessoas, não mesas)."
EVT-2026-09-10,2026-09-10,quinta,,LOC-001,Quinta Hits Pop Rock,ART-002,,,,,realizado,,,,,,,"Arte pronta em 9:16, sem horário e sem endereço na peça. Resultados de público/reservas e entrega da campanha A CONFIRMAR."
EVT-2026-09-17,2026-09-17,quinta,,LOC-002,,,,,,,cancelado,,,,,,,Data cancelada/inexistente — usuário confirmou em 15/09/2026 que não há Quinta Hits em 17/09/2026 (17/09 não existe na agenda). Removida do site (card 'a confirmar' retirado); próxima edição no Florindos Bar passa a ser 24/09/2026.
EVT-2026-09-24,2026-09-24,quinta,,LOC-002,Quinta Hits 2000's,ART-001,,,,,confirmado,,,,,,,Agenda informada em 15/09/2026. Sem edição registrada em 01/10.
EVT-2026-10-01,2026-10-01,quinta,,LOC-002,,,,,,,cancelado,,,,,,,Data cancelada/inexistente — Vitor confirmou em 15/09/2026 que não há Quinta Hits em 01/10/2026 (agenda de outubro começa em 08/10). Não aparece no site; mesmo tratamento do 17/09.
EVT-2026-10-08,2026-10-08,quinta,,LOC-002,Quinta Hits DJ Vinyl,ART-003,,,,,confirmado,,,,,,,Agenda informada em 15/09/2026. Sem edição registrada em 01/10.
EVT-2026-10-15,2026-10-15,quinta,,LOC-002,Tributo ao Roupa Nova,ART-004,,,,,confirmado,,,,,,,Agenda informada em 15/09/2026. Sem edição registrada em 01/10.
EVT-2026-10-22,2026-10-22,quinta,,LOC-002,Quinta Hits Rock Pop,ART-005,,,,,confirmado,,,,,,,Agenda atualizada em 15/09/2026: banda Jay-C (rock/pop) substitui NETO FOG nesta data.
EVT-2026-10-29,2026-10-29,quinta,,LOC-002,Quinta Hits 2000's,ART-001,,,,,confirmado,,,,,,,Agenda informada em 15/09/2026. Sem edição registrada em 01/10.
EVT-2026-11-05,2026-11-05,quinta,,LOC-002,Quinta Hits DJ Vinyl,ART-003,,,,,confirmado,,,,,,,Agenda informada em 15/09/2026. Sem edição registrada em 01/10.
EVT-2026-11-12,2026-11-12,quinta,,LOC-002,Quinta Hits Rock Pop,ART-002,,,,,confirmado,,,,,,,Agenda informada em 15/09/2026. Sem edição registrada em 01/10.
EVT-2026-11-19,2026-11-19,quinta,,LOC-002,Quinta Hits Rock Pop,ART-005,,,,,confirmado,,,,,,,Agenda atualizada em 15/09/2026: banda Jay-C (rock/pop) substitui DJ Jabá nesta data.
EVT-2026-11-26,2026-11-26,quinta,,LOC-002,Quinta Hits 2000's,ART-001,,,,,confirmado,,,,,,,Agenda informada em 15/09/2026. Sem edição registrada em 01/10.
